cik,ticker,ipo_date,permno,crsp_ticker,siccd,crsp_start,crsp_end,matched
937098,TNET,2014-03-27,14521.0,TNET,7389.0,2024-12-31,2025-12-31,True
1720424,HIVE,2014-03-28,21724.0,HIVE,1081.0,2024-12-31,2025-12-31,True
1575793,WATT,2014-03-28,14556.0,WATT,7379.0,2024-12-31,2025-12-31,True
1943421,RUBI,2014-04-02,27097.0,RUBI,9999.0,2025-08-04,2025-12-31,True
1288847,FIVN,2014-04-04,14596.0,FIVN,7374.0,2024-12-31,2025-12-31,True
40729,ALLY,2014-04-10,14558.0,ALLY,6022.0,2024-12-31,2025-12-31,True
1423902,ENBL,2014-04-11,,,,,,False
1591670,FPI,2014-04-11,14566.0,FPI,6798.0,2024-12-31,2025-12-31,True
1069899,PAHC,2014-04-11,14603.0,PAHC,2834.0,2024-12-31,2025-12-31,True
1590955,PAYC,2014-04-15,14579.0,PAYC,7371.0,2024-12-31,2025-12-31,True
1596967,MC,2014-04-16,14574.0,MC,6282.0,2024-12-31,2025-12-31,True
1597033,SABR,2014-04-17,14608.0,SABR,7375.0,2024-12-31,2025-12-31,True
1132105,SPWH,2014-04-17,14609.0,SPWH,5941.0,2024-12-31,2025-12-31,True
1595761,WB,2014-04-17,14616.0,WB,7371.0,2024-12-31,2025-12-31,True
1341235,ALDX,2014-05-02,14647.0,ALDX,2834.0,2024-12-31,2025-12-31,True
1176948,ARES,2014-05-02,14617.0,ARES,6282.0,2024-12-31,2025-12-31,True
1544522,FRSH,2014-05-02,21895.0,FRSH,7372.0,2024-12-31,2025-12-31,True
1178253,SCYX,2014-05-02,14668.0,SCYX,2834.0,2024-12-31,2025-12-31,True
1598655,GLOP,2014-05-07,,,,,,False
1597835,CMCM,2014-05-08,14618.0,CMCM,7371.0,2024-12-31,2025-12-31,True
2086524,KTWO,2014-05-08,,,,,,False
1597095,TOUR,2014-05-09,14676.0,TOUR,7389.0,2024-12-31,2025-12-31,True
1430723,SFBS,2014-05-14,14670.0,SFBS,6712.0,2024-12-31,2025-12-31,True
1505732,BWFG,2014-05-15,14650.0,BWFG,6712.0,2024-12-31,2025-12-31,True
1537435,TGEN,2014-05-21,14675.0,TGEN,7623.0,2024-12-31,2025-12-31,True
1549802,JD.,2014-05-22,,,,,,False
1598665,HRTG,2014-05-23,14625.0,HRTG,6331.0,2024-12-31,2025-12-31,True
1596532,ANET,2014-06-06,14714.0,ANET,3577.0,2024-12-31,2025-12-31,True
1519061,TSE,2014-06-12,22174.0,TSE,2821.0,2024-12-31,2025-12-31,True
1145986,ASPN,2014-06-13,14715.0,ASPN,2899.0,2024-12-31,2025-12-31,True
1576940,CCS,2014-06-18,14716.0,CCS,1521.0,2024-12-31,2025-12-31,True
1276187,FELP,2014-06-18,,,,,,False
2074176,VNOM,2014-06-18,15139.0,VNOM,1311.0,2024-12-31,2025-12-31,True
1437402,ARDX,2014-06-19,14690.0,ARDX,8731.0,2024-12-31,2025-12-31,True
2089161,ECR,2014-06-20,,,,,,False
1510593,XNET,2014-06-24,14710.0,XNET,6719.0,2024-12-31,2025-12-31,True
1478320,ADPT,2014-06-25,18769.0,ADPT,8731.0,2024-12-31,2025-12-31,True
1297184,AMPH,2014-06-25,14688.0,AMPH,2834.0,2024-12-31,2025-12-31,True
1091223,MTLS,2014-06-25,14705.0,MTLS,8711.0,2024-12-31,2025-12-31,True
1500435,GPRO,2014-06-26,14694.0,GPRO,5072.0,2024-12-31,2025-12-31,True
1832483,SERV,2014-06-26,25034.0,SERV,4213.0,2024-12-31,2025-12-31,True
753308,NEP,2014-06-27,14734.0,NEP,4911.0,2024-12-31,2025-12-31,True
1602658,ISTR,2014-07-01,14810.0,ISTR,6712.0,2024-12-31,2025-12-31,True
1598646,NERV,2014-07-01,14822.0,NERV,2834.0,2024-12-31,2025-12-31,True
1295401,SBCP,2014-07-14,,,,,,False
1217234,CDNA,2014-07-16,14797.0,CDNA,8071.0,2024-12-31,2025-12-31,True
1325618,IRMD,2014-07-16,14807.0,IRMD,3841.0,2024-12-31,2025-12-31,True
2074872,TRTLU,2014-07-17,,,,,,False
1557860,GLOB,2014-07-18,14785.0,GLOB,6719.0,2024-12-31,2025-12-31,True
1371285,TRUP,2014-07-18,14782.0,TRUP,6324.0,2024-12-31,2025-12-31,True
1499832,TSQ,2014-07-23,14778.0,TSQ,4832.0,2024-12-31,2025-12-31,True
1604028,WMS,2014-07-24,14759.0,WMS,3084.0,2024-12-31,2025-12-31,True
1606366,LOCO,2014-07-24,14812.0,LOCO,6794.0,2024-12-31,2025-12-31,True
1393434,OCUL,2014-07-24,14823.0,OCUL,2834.0,2024-12-31,2025-12-31,True
1609804,OEC,2014-07-24,14786.0,OEC,5169.0,2024-12-31,2025-12-31,True
1604522,THQ,2014-07-29,14777.0,THQ,6733.0,2024-12-31,2025-12-31,True
1604665,WLKP,2014-07-30,14783.0,WLKP,1321.0,2024-12-31,2025-12-31,True
1428336,HQY,2014-07-31,14803.0,HQY,6321.0,2024-12-31,2025-12-31,True
1601712,SYF,2014-07-31,14776.0,SYF,6021.0,2024-12-31,2025-12-31,True
1451505,RIGP,2014-07-31,,,,,,False
1910139,MBLY,2014-08-01,23439.0,MBLY,7372.0,2024-12-31,2025-12-31,True
1383650,VTTI,2014-08-01,,,,,,False
1578453,HMLP,2014-08-07,,,,,,False
1295401,GNBC,2014-08-08,,,,,,False
1481582,RYI,2014-08-08,14855.0,RYI,5051.0,2024-12-31,2025-12-31,True
1612940,PRQR,2014-09-18,14935.0,PRQR,8731.0,2024-12-31,2025-12-31,True
1577552,BABA,2014-09-19,14888.0,BABA,6719.0,2024-12-31,2025-12-31,True
759944,CFG,2014-09-24,14889.0,CFG,6022.0,2024-12-31,2025-12-31,True
1423902,CNNX,2014-09-25,,,,,,False
886982,GER,2014-09-25,,,,,,False
2096900,AUMAU,2014-10-01,,,,,,False
1383650,JPEP,2014-10-02,,,,,,False
1616707,W,2014-10-02,14983.0,W,5961.0,2024-12-31,2025-12-31,True
1867066,DERM,2014-10-03,22296.0,DERM,2834.0,2024-12-31,2025-12-31,True
1604174,ECC,2014-10-08,14959.0,ECC,6726.0,2024-12-31,2025-12-31,True
1404655,HUBS,2014-10-09,14970.0,HUBS,7372.0,2024-12-31,2025-12-31,True
932021,MOLG,2014-10-09,,,,,,False
1937926,OMAM,2014-10-09,,,,,,False
1610682,USDP,2014-10-09,,,,,,False
1525769,PLAY,2014-10-10,15014.0,PLAY,5812.0,2024-12-31,2025-12-31,True
1423902,DM,2014-10-15,18719.0,DM,3313.0,2024-12-31,2025-04-02,True
1612042,FWP,2014-10-15,,,,,,False
854560,GWB,2014-10-15,,,,,,False
